City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
69,Clyde River,CA,70.4692,-68.5914,-23.57,69,0,3.44,clear sky
70,Rock Sound,BS,24.9,-76.2,75.45,74,55,14.94,broken clouds
71,Provideniya,RU,64.3833,-173.3,-0.06,94,59,9.98,broken clouds
72,Hilo,US,19.7297,-155.09,82.13,62,20,9.22,few clouds
73,Saint-Louis,SN,16.3333,-15.0,76.62,15,100,8.16,overcast clouds
74,Castro,BR,-24.7911,-50.0119,59.86,87,69,8.72,broken clouds
75,Saint-Philippe,RE,-21.3585,55.7679,76.59,80,37,11.41,scattered clouds
76,Saint Anthony,US,45.0205,-93.218,17.53,80,0,9.22,clear sky
77,Vao,NC,-22.6667,167.4833,77.47,87,96,9.57,light rain
78,Cabo San Lucas,MX,22.8909,-109.9124,79.9,65,0,4.61,clear sky
79,Tibati,CM,6.4667,12.6333,72.57,24,57,7.36,broken clouds
80,Hermanus,ZA,-34.4187,19.2345,66.79,77,68,10.16,broken clouds
81,Cairns,AU,-16.9167,145.7667,80.55,83,40,2.3,scattered clouds
82,Bluff,NZ,-46.6,168.3333,61.9,60,0,15.46,clear sky
83,Grindavik,IS,63.8424,-22.4338,33.75,74,20,13.8,few clouds
84,Pevek,RU,69.7008,170.3133,-10.91,95,100,4.47,overcast clouds
85,Suntar,RU,62.1444,117.6319,-14.15,99,100,1.95,overcast clouds
86,Sangar,RU,63.9242,127.4739,-23.3,88,100,7.7,overcast clouds
87,Barrow,US,71.2906,-156.7887,-12.98,77,0,13.8,haze
88,Pangnirtung,CA,66.1451,-65.7125,-0.54,89,100,2.53,overcast clouds
89,Hualmay,PE,-11.0964,-77.6139,71.67,73,15,8.3,few clouds
90,Saskylakh,RU,71.9167,114.0833,-32.12,98,99,3.47,overcast clouds
91,Kalmunai,LK,7.4167,81.8167,75.0,89,78,8.77,broken clouds
92,Kimbe,PG,-5.5502,150.1429,85.42,74,79,2.91,light rain
93,Tual,ID,-5.6667,132.75,82.81,76,100,10.89,overcast clouds
94,Road Town,VG,18.4167,-64.6167,77.09,94,20,3.44,few clouds
95,Cayenne,GF,4.9333,-52.3333,73.44,94,75,0.0,light rain
96,Lata,PT,40.1629,-8.3327,57.81,98,100,5.64,overcast clouds
97,Wajima,JP,37.4,136.9,38.08,100,75,2.3,broken clouds
98,Butaritari,KI,3.0707,172.7902,80.37,81,25,15.64,light rain
99,Meulaboh,ID,4.1363,96.1285,74.43,87,99,2.59,overcast clouds
100,Kungurtug,RU,50.5994,97.5228,2.61,93,98,2.3,overcast clouds
101,Dingle,PH,10.9995,122.6711,75.43,84,100,12.71,overcast clouds
102,Changuinola,PA,9.4333,-82.5167,76.14,83,9,3.42,clear sky
103,Srednekolymsk,RU,67.45,153.6833,-36.17,97,100,8.97,overcast clouds
104,Herat,AF,34.5,62.0,44.31,86,65,0.72,light rain
105,La Rioja,ES,42.25,-2.5,31.78,87,100,9.93,light snow
106,Bredasdorp,ZA,-34.5322,20.0403,64.0,77,22,5.66,few clouds
107,Haines Junction,CA,60.7522,-137.5108,20.12,94,100,1.66,overcast clouds
