City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
483,Saint Thomas Mount,IN,76.98,mist,12.9964,80.2031,Le Royal Meridian
490,Kailua,US,83.89,scattered clouds,21.4022,-157.7394,No hotel found
495,Mogadishu,SO,77.27,few clouds,2.0371,45.3438,SYL Hotel
497,Mareeba,AU,77.49,overcast clouds,-17.0,145.4333,The Gateway Hotel
504,Vilhena,BR,75.42,broken clouds,-12.7406,-60.1458,No hotel found
505,Trinidad,BO,89.58,few clouds,-14.8333,-64.9,Hotel Palace
512,Augusto Correa,BR,75.87,light rain,-1.0217,-46.635,No hotel found
515,Jacareacanga,BR,73.31,broken clouds,-6.2222,-57.7528,Hotel São Cristovão
520,Majene,ID,80.02,light rain,-3.5403,118.9707,No hotel found
522,San Rafael,AR,89.19,overcast clouds,-34.6177,-68.3301,Hotel Regional
527,Farafangana,MG,75.09,light rain,-22.8167,47.8333,Le Concombre Masqué
528,Boundiali,CI,76.35,clear sky,9.5217,-6.4869,No hotel found
535,Guhagar,IN,70.47,clear sky,17.4842,73.1929,Prestige Deluxe
536,Tautira,PF,80.71,light rain,-17.7333,-149.15,No hotel found
538,Balung,ID,79.83,few clouds,-7.7333,113.9167,No hotel found
541,Kupang,ID,81.18,few clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
548,Gizo,SB,84.25,light rain,-8.103,156.8419,Gizo Hotel
553,Ternate,ID,81.64,light rain,0.8,127.4,Boulivard ternate
554,Acajutla,SV,78.55,clear sky,13.5928,-89.8275,Hotel Lara
561,Campos,BR,73.45,overcast clouds,-21.75,-41.3,Hotel Terrazzo
563,Malayal,PH,75.0,overcast clouds,7.208,121.942,No hotel found
569,Karwar,IN,72.27,clear sky,14.8,74.1333,No hotel found
573,Karratha,AU,85.39,broken clouds,-20.7377,116.8463,Karratha International Hotel
575,Basco,PH,74.46,broken clouds,20.4487,121.9702,Tawsen Hotel
